"Publication","Author Count"
"A Parallel-Design Distributed-Implementation (PDDI) General-Purpose Computer.","1"
"A Communication Hierarchy of Parallel Computations.","1"
"Decidable Sentences of Church-Rosser Congruences.","1"
"An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.","1"
"Object Model Capabilities For Distributed Object Management.","1"
"Integrating Object-Oriented Applications and Middleware with Relational Databases.","1"
"MetaObject Protocol Concepts for a RISC Object Model.","1"
"Object Data Language Facilities for Multimedia Data Types.","1"
"Distributed Object Management Technology.","1"
"Muffin: A Distributed Database Machine","1"
"Modification of User Defined Types","1"
"Unification of Value and Object ADTs","1"
"Die Reprasentation raumlichen Wissens und die Behandlung von Einbettungsproblemen mit Quadtreedepiktionen","1"
"Algebraical Optimization of FTA-Expressions","1"
"Zur Systemarchitektur von LILOG","1"
"Dokumentation der Syntax der LILOG-Grammatik","1"
"Cognitive Linguistics: The Processing of Spatial Concepts","1"
"SQL/Data System for VSE: A Relational Data System for Application Development.","0"
"A Logical Operational Semantics of Full Prolog","1"
"Ein Fact Manager zur persistenten Speicherung variabel strukturierter komplexer Objekte","1"
"How could a good system of practical NLP look like?","1"
"Mglichkeiten des Einsatzes eines dreiwertigen Theorembeweisers","1"
"Attribute Inheritance Implemented on Top of a Relational Database System","1"
"LMT - Machine Translation Demonstration","1"
"An Overview on Planning Applications in PROTOS-L","1"
"aber Ansatze zur Darstellung von Konzepten und Prototypen","1"
"Ein praktischer Algorithmus far die E-Unifikation","1"
"Simulation Sprachlichen Verstehens: Generelle Probleme bei der semantischen Interpretation der natarlichen Sprache","1"
"The Institute for Knowledge Based Systems in the IBM Germany Scientific Center","1"
"Konzeption und Implementierung von Gleichheit far einen tableau-basierten Theorem-Beweiser","1"
"Syntaktische Informationseinheiten zu deutschen Adjektiven","1"
"DInG - ein Domanen-orientierter Inkrementeller und Integrierter Generator far koharente Texte","1"
"Prozedurale Semantik. Reprasentation der Sprechergegenwart.","1"
"""Dictionary Dialog"" - Entwurf des Funktionsumfangs far eine Benutzerschnittstelle eines integrierten maschinellen/maschinenunterstatzten abersetzungssystems und prototypische Erstellung der Bildschirmfolge far die Funktion ""Semantische Relation""","1"
"Zur Behandlung komplexer Objekte in LILOG","1"
"Computational aspects of three-valued logic","1"
"Processing Spatial Knowledge in LILOG","1"
"Der Lambek-Kalkal. Eine Logik far lexikalische Grammatiken","1"
"Parenthetische Konstruktionen des Deutschen.","1"
"Symmetric Coordination: An Alternative Theory of Phrase Structure","1"
"On the Problem of Masking Special Errors by Serial Signature Analysis","1"
"Eine dreiwertige Logik zur Verarbeitung partieller Information","1"
"An Inference Engine for Function Free Logic Programs","1"
"Aspekte der Generierung von Wegbeschreibungen","1"
"Subsumtion far eine erweiterte attributive Sortenbeschreibungssprache","1"
"Mathematische Grundlagen der formalen Linguistik - Ein Kompendium","1"
"Richtungsangabe oder Wegkonnektor? Ramliches ""Zurack"" und seine Semantik","1"
"Voraberlegungen zur depiktionalen Reprasentation raumlichen Wissens","1"
"Der modale Infinitiv: Syntaktische oder lexikalische Beschreibung?","1"
"At Ease with ""AT""","1"
"Datenbankunterstatzung far wissensbasierte Systeme","1"
"Temporales Schlieaen in einem natarlichsprachlichen System","1"
"Zur intelligenten Organisation von Wissensbestanden in kanstlichen Systemen","1"
"KL-ONE: Eine Einfahrung","1"
"Improving the Concurrency of Integrity Checks and Write Operations","1"
"aber Vergleichskonstruktionen","1"
"Ereignisse: Ihre Logik und Ontologie aus textsemantischer Sicht","1"
"Wissensbasierte Systeme in der Medizin: GMDS/GI, Abstracts des 1. gemeinsamen Workshops der AG Expertensysteme der GMDS und der FG Diagnostik und Klassifikation im GI-Fachausschua 1.5, 29.-30. Marz 1990, Heidelberg","0"
"An Environment for Experimentation with Parsing Strategies","1"
"Logisches Clustering von PROTOS-L Prozeduren","1"
"A Model Elimination Calculus for Generalized Clauses","1"
"Lexical Representation of Idioms","1"
"Mengenkonzepte in Unifikationsgrammatiken","1"
"On the Treatment of Compounds in Machine Translation. A Study","1"
"Position und Bewegung: Zur Semantik lokaler Verben","1"
"Zur Systematik morphologischer Paradigmen: Die deutschen Verben in der Computermorphologie","1"
"Domain Restriction and Other Kinds of Reference Set Operations in Sentence and Discourse Semantics.","1"
"Umweltbewertung mit EXCEPT: Darstellung aus kologischer Sicht","0"
"Lernverfahren zur Vervollstandigung von Hornklauselmengen durch inverse Resolution","1"
"Ein Beispiel zur wissensbasierten Produktionsplanung mit PROTOS-L.","1"
"Zum Begriff ""Argumentstruktur"" im Rahmen generativer worbildungstheoretischer Ansatze","1"
"Standards far das Programmieren in Prolog far LILOG, Version 2.0","1"
"The Term Retrieval Abstract Machine","1"
"Feature Constraint Logics for Unification Grammars","1"
"Ein Transaktionskonzept far LILOG","1"
"Ereignisse und Reprsentationen","1"
"On the Role of Reasoning about Change in the Projection of Presuppositions","1"
"A Logical Operational Semantics of Full Prolog Part II: Built-in Predicates for Database Manipulations","1"
"A Brief Overlook of LILOG-DB","1"
"Leistungsanalyse des Datenbanksystems LILOG-DB","1"
"Modals and the Scope of Negation, On the Treatment of Optionality in HPSG, Some Properties of Negation in German.","1"
"Parsingstrategien far Unifikationsgrammatiken mit ID/LP-Regeln","1"
"Sort-Lattice Management in LILOG-DB","1"
"How to Fit the Lambek Calculus into the Chomsky Hierarchy","1"
"Erweiterung der Wissensreprasentationssprache L-LILOG um Konstrukte zur Spezifikation von Kontrollinformation","1"
"Strategien zur Pronominalisierung","1"
"""Der Filmded das Publikum"" - Zum Aufbau eines maschinenlesbaren Wrterbuchs far deutsche Verben","1"
"Operationen in erweiterten Typunifikationsformalismen","1"
"WebS - ein System zur Generierung von Wegbeschreibungen","1"
"Statistische Untersuchungen an einsprachigen Zeitungstexten","1"
"International Workshop on Terminological Logics - Proceedings","0"
"Mathematical Logic and Artificial Intelligence","1"
"Syntaktische Merkmale deutsche Substantive","1"
"Die Behandlung von mehrdeutigen Verben in der Maschinellen abersetzung","1"
"Untersuchung zur verteilten Produktionsplanung mit Methoden der logischen Programmierung","1"
"Types, Modules and Databases in the Logic Programming Language PROTOS-L","1"
"Eine Prolog-Theorie far zeitliche Beziehungen zwischen Ereignissen","1"
"Lokale Verben und Prapositionen: Semantische und konzeptuelle Verarbeitung in LEU II","1"
"A Logical Operational Semantics of Full Prolog Part III: Built-in Predicates for Files, Terms, Arithmetic and Input-Output","1"
"Zur Verarbeitung von Lokalisierungsausdracken in einem hybriden System","1"
"Integration von Constraints in die LLILOG Sortenbeschreibungssprache","1"
"Mentale Bilder und Wegbedeutungen","1"
"Pluralbehandlung in natarlichsprachlichen Wissensverabeitungssystemen","1"
"Incremental Vocabulary Extensions in Text Understanding Systems","1"
"Persistence and Justified Causation: Some Remarks on Nonmonotonic Temporal Reasoning","1"
"Anaphora Resolution for Machine Translation: A Study","1"
"Koordination von nichtverbalen Satzkonstituenten","1"
"The Design and Implementation of TLPROLOG (V. 2.0) - Intermediate Report","1"
"A Conceptual Model for Time","1"
"Standards far das Programmieren in Prolog far LILOG, Version 1.0","1"
"Rekonstruktion von Hintergrundwissen far ein wissensbasiertes textverstehendes System","1"
"A Feature Logic with Subsorts","1"
"EFTA: An Algebra for Deductive Retrieval of Feature Terms","1"
"EFTA Query Processing in LILOG-DB","1"
"A Polynomial Method for Finding Irregularities in Large Example Sets","1"
"Compilation of Complex DATALOG with Stratified Negation","1"
"Interaktion von propositionalen und bildhaften Reprasentationen","1"
"XRM - An Extended (N-ary) Relational Memory.","1"
"Untersuchungen zum Grundwortschatz","1"
"Ein modularer Ansatz far prinzipienbasiertes Parsing","1"
"Quantifikation, Plural, Ereignisse und ihre Argumente in einer mehrsortigen Sprache der Pradikatenlogik erster Stufe","1"
"SQL/Data System, Conpects and Facilities.","0"
"Derivationsmorphologie in einem abersetzungssystem","1"
"Prozedurale Aspekte der Wegplanung und Wegbeschreibung","1"
"FLL: A First-Order Language for Deductive Retrieval of Feature Terms","1"
"Das Problem der VP-Ellipsen im Rahmen einer Theorie der Sachverhaltsanaphern","1"
"Konzeptuelles Design einer mehrsprachigen lexikalischen Datenbank far die maschinelle abersetzung","1"
"Integration eines deduktiven Datenbanksystems in eine Logikprogrammiersprache","1"
"A Knowledge Level Analysis of Belief Revision","1"
"An Effective Representation of Complex Clauses in a Relational Database","1"
"Natural Language Understanding in LILOG: An Intermediate Overview","1"
"Verarbeitung von Vagheits- und Unsicherheitsbewertungen: Tools far das Testen von Ansatzen far die Unifikation und die Logikbehandlung von mit Unsicherheit und Vagheit bewerteten Graphen im L-LILOG-STUF-Graphenkonzept","1"
"Modeling Structured Open Worlds in a Database System: The FLL-Approach","1"
"Integrating a Deductive Database System with a Warren Abstract Machine","1"
"Expressing Linguistic Knowledge in STUF '91","1"
"Zeit und Aspekt bei der Verarbeitung natarlicher Sprachen","1"
"Spezifikation eines Theorembeweisers far dreiwertige First-Order Logik.","1"
"aber die W's der Textgenerierung: Was, wofar, wo und wie: Wissensbasierte Generierung von informierenden Texten in einem Auskunftssystem","1"
"Integrating Model Theoretic and Proof Theoretic Interpretation of Logic Programs","1"
"THOR - A System for Computing in Equational Theories","1"
"Syntactic Processing of Unknown Words","1"
"Vertraglichkeitsprafungen far die Verarbeitung raumlichen Wissens","1"
"Mathematische Grundlagen der formalen Linguistik - Ein Kompendium","1"
"A Tool Kit for Knowledge Based Production Planning Systems","1"
"Wortbedeutungen und lexikalische Reprasentationen","1"
"Semantische Reprasentation von Plural-Phanomenen","1"
"Results on Non-Monotonic Logics.","1"
"Modularizing Knowledge in LILOG","1"
"Variable Subkategorisierung: Eine Theorie unpersnlicher Einbettungen im Deutschen","1"
"Development and Programming of Deductive Databases with PROTOS-L","1"
"ICL - An Integrity Control Language: Konzeption und Implementierung einer formalen Sprache zur Integritatskontrolle von Wissensbasen","1"
"SQL/Data System, General Information Manual.","0"
"Representation and Accessibility of Discourse Referents","1"
"Complexity of Logical Decision Problems: An Introduction","1"
"Weiterentwicklung des Earley-Algorithmus far kontextfreie und ID/LP-Grammatiken","1"
"Terminological Reasoning is Inherently Intractable","1"
"Verarbeitung natrlicher Sprache","1"
"A Model for Discourse Particles","1"
"Chart-Parsing of Unification-Based Grammars with ID/LP-Rules","1"
"Transitive Closure: New Aspects of an Old Theme","1"
"On Structuring Domain-Specific Knowledge","1"
"Standards far das Programmieren in Prolog far LILOG, Version 3.3","1"
"LILOG Prototype I Grammar Documentation: Semantics","1"
"Datenbankkonzepte far wissensbasierte Systeme","1"
"Ein Lernverfahren far den automatischen Erwerb von Kontrollwissen","1"
"Stability Analysis of Wireless Networks","1"
"A Modified Mesh Independence Principle of Newton's Method","1"
"On Boolean vs. Modular Arithmetic for Circuits and Communication Protocols","1"
"A Parametric View to the Mangasarian-Fromovitz Constraint Qualification","1"
"A Decomposition Method in Nonconvex Mixed-Integer Programming","1"
"A Decomposition Method Using Duality Bounds for Nonconvex Optimization","1"
"Nonuniform Grids for Reduced Basis Design of Low Order Feedback Controllers for Nonlinear Continuous Systems","1"
"On Markovian Spatial Arrival Processes for the Performance Analysis of Mobile Communication Networks","1"
"Convolution Algorithms for BMAP/G/1-Queues","1"
"A QQP-Minimization Method for Semidefinite and Smooth Nonconvex Programs","1"
"18. Workshop aber Komplexitatstheorie, effiziente Algorithmen und Datenstrukturen, Universitat Trier, 20. Oktober 1992 (Abstracts)","0"
"Structured PSB-Update for Optimal Shape Design Problems","1"
"Raumliche Markov-additive Prozesse und Bedienstationen ohne Warteraum","1"
"Approximation Results for Wavelength Routing in Directed Binary Trees","1"
"A Comparison of Numerical Methods for Optimal Shape Design Problems","1"
"Scheduling of Conditional Executed Jobs","1"
"Complete Families of Invariant Distributions","1"
"Numerical Solution of a Semilinear Parabolic Control Problem","1"
"A Fast and Robust Algorithm for a Class of Generalized Fractional Programs","1"
"Convergence of Time-Continous Disturbed Martingales and Financial Market Modelling","1"
"Approximate Analysis of Multi-Queue Stations with 1-Limited Service","1"
"Scheduling Expression DAGs for Minimal Register Need","1"
"On the Queue-Length-Distributions of the Ek/MX/1 Queue and of the Ek/GE/1 Queue under Repetitive-Service Blocking","1"
"Approximating Semi-Markov Processes by MAPs, with an Application on Queueing Theory","1"
"Newton's Method for a Class of Optimal Shape Design Problems","1"
"Complexity Results for the Optimum Cost Chromatic Partition Problem","1"
"Personal Name Matching: New Test Collections and a Social Network based Approach.","1"
"On Local Convex Majorizing Approximations of Generalized Semi-Infinite Programming Problems","1"
"Structured Quasi-Newton Methods for Optimization Problems in Hilbert Space","1"
"Computation of PODs for Fluid Flows with Lanczos Methods","1"
"Unambiguity of SMGL Content Models - Pushdown Automata Revisited","1"
"Global Optimization Techniques for Solving the General Quadratic Integer Programming Problem","1"
"On the Numerical Simulation of Bingham Fluid Flows Using Prox-Regularization","1"
"Zur strukturellen Stabilitt von Kommunikationssystemen - Eine kurze Einfhrung in die Grundlagen","1"
"Customer Motion in Queueing Models: The Use of Tangent Vector Fields","1"
"On the Continuity of Effective Multifunctions.","1"
"The Geometry of Timed PV Programs.","1"
"A Characterization of Constructive Dimension.","1"
"On CSP Refinement Tests That Run Multiple Copies of a Process.","1"
"Lazy Rewriting and Context-Sensitive Rewriting.","1"
"On Term-Graph Rewrite Strategies.","1"
"Tabular verification and refinement.","1"
"Tableau Systems for Some Paraconsistent Modal Logics.","1"
"Information Systems Research and Development at CCLRC: Accelerating Innovation through Technology Transfer.","1"
"Failure Mode Modular De-Composition Using Spider Diagrams.","1"
"Lessons from a Bibliography Program's Reimplementation.","1"
"Slicing XML Documents.","1"
"Matching typed and untyped realizability.","1"
"Context for Models of Concurrency.","1"
"Process Algebra and Information Flow.","1"
"On the Formal Specification and Derivation of Relational Database Applications.","1"
"Believing the Integrity of a System: (Invited Talk).","1"
"Checking Event-Based Specifications in Java Systems.","1"
"Coordination Model and Noninterference.","1"
"Formal Methods Elsewhere - A Satellite Workshop of FORTE-PSTV-2000 devoted to applications of formal methods to areas other than communication protocols and software engineering.","1"
"On the Complexity of RSRL.","1"
"Semi-Automated Component-Based Development of Formally Verified Software.","1"
"Process Algebra Under the Light of Wolfram's NKS.","1"
"Composition Theorems for Generalized Sum and Recursively Defined Types.","1"
"Towards the Construction of an Abstract State-Space from a Partial-Order Representation of the Concrete One.","1"
"Taclets and the KeY Prover.","1"
"LotrecScheme.","1"
"Effectivity and Density in Domains: A Survey.","1"
"Regular Model Checking using Widening Techniques.","1"
"Summation generator.","1"
"TCP SYN Cookies.","0"
"Rainbow Tables.","1"
"Right-to-Left Exponentiation.","1"
"Adaptive Chosen Plaintext and Chosen Ciphertext Attack.","1"
"Contract Signing.","1"
"Availability.","1"
"Protection.","0"
"Web SSO and Security Assertion Markup Language.","0"
"Tempest.","1"
"Blum-Blum-Shub Pseudorandom Bit Generator.","1"
"Smoothness.","1"
"GMR Signature.","1"
"Euclidean Lattice.","0"
"Access Structure.","1"
"NSS.","0"
"Authorizations.","1"
"SHA Family (Secure Hash Algorithm).","1"
"Universal One-Way Hash Functions.","1"
"Electronic Cash.","1"
"Intellectual Property.","0"
"Smartcard tamper resistance.","1"
"Multiprecision Squaring.","1"
"SEPA.","1"
"Electronic Check.","0"
"Stack (Buffer) Overrun.","0"
"Digital Steganography.","1"
"Public Key Proxy Encryption.","1"
"Multiset Attack.","1"
"Interactive Argument.","1"
"Social Perspectives on Information Privacy.","1"
"Chosen Ciphertext Attack.","1"
"Voiceprint Recognition.","0"
"HRU.","1"
"Signed Digit Exponentiation.","1"
"Authorizations management.","1"
"Exponential Time.","1"
"Nonsecret Encryption.","1"
"Group.","1"
"Electronic Cash.","1"
"DAC.","0"
"RIPEMD Family.","1"
"Correlation Immune and Resilient Boolean Functions.","1"
"Cryptosystem.","1"
"Modular Root.","1"
"Fail-Stop Signature.","1"
"Biometric Passport Security.","0"
"TCP SYN Flooding.","0"
"Cryptanalysis.","1"
"Biometric Recognition.","0"
"Authenticated Encryption.","1"
"PMAC.","1"
"Secure Computer System Model.","0"
"Identity Proof.","0"
"Keyboard Dynamics.","1"
"Derived Key.","1"
"PKIX - Public Key Infrastructure (X.509).","1"
"Biometric Authentication.","1"
"DC Network.","1"
"Integrated Circuit Card.","0"
"Secure Hash Algorithm.","0"
"Payment Card.","1"
"Random Bit Generator.","1"
"Rivest Cipher 5.","0"
"Relay Attack.","1"
"Electronic Postage.","1"
"Simultaneous Exponentiation.","1"
"Proof of Knowledge Versus Proof of Membership.","1"
"Pseudoprime.","1"
"Lattice Reduction.","1"
"Rivest Cipher 6.","0"
"Typing Patterns.","0"
"Public Key Proxy Signatures.","1"
"Number Field.","1"
"Maurer's Algorithm.","0"
"Authentication Token.","1"
"Computational Complexity.","1"
"Finite Field.","1"
"Multi-Exponentiation.","0"
"SWP.","1"
"Macrodata Disclosure Limitation.","0"
"Side-Channel Attacks.","1"
"Binary Functions.","0"
"Error-Correction Decoding.","0"
"Feige-Fiat-Shamir Signature Scheme.","0"
"Secure Data Outsourcing: A Brief Overview.","1"
"Signcryption.","1"
"ID-Based Encryption.","0"
"Authorization Policy.","1"
"History-Based Separation of Duties.","0"
"GCM.","0"
"Memory and State Exhaustion Denial of Service.","1"
"Rank Codes.","1"
"Linear Complexity.","1"
"Sieving in Function Fields.","1"
"Talker Recognition.","0"
"Run-Time Malware Analysis.","0"
"PEM, Privacy-Enhanced Mail.","1"
"Nyberg-Rueppel Signature Scheme.","1"
"False Data Filtering.","0"
"ElGamal Public Key Encryption.","1"
"Computational Complexity.","1"
"Deniable Encryption.","1"
"Pseudonyms.","1"
"Sliding Window Exponentiation.","1"
"Human Ear Biometrics.","0"
"Typing Dynamics.","0"
"Reference Monitor.","1"
"HTTP Cookie.","0"
"Elliptic Curves for Primality Proving.","1"
"PMAC.","1"
"Sensor Key Establishment and Maintenance.","0"
"Luby-Rackoff Ciphers.","1"
"Password.","1"
"Mix Networks.","1"
"Boomerang Attack.","1"
"Cross-Correlation.","1"
"Feistel Cipher.","1"
"Nonsecret Encryption.","1"
"Quadratic Sieve.","1"
"Diffie-Hellman Key Exchange.","0"
"Salt.","1"
"Zeroization.","1"
"Voice Biometrics.","0"
"Interactive Proof Systems.","0"
"Group Key Distribution.","0"
"Ciphertext-Only Attack.","1"
"Primality Proving Algorithm.","1"
"Schemes Based on Rank Codes.","1"
"Dictionary Attack (I).","1"
"Related Key Attack.","1"
"Smoothness.","1"
"Broadcast Encryption.","1"
"Number Field.","1"
"Diffie-Hellman Problem.","0"
"FPGAs in Cryptography.","1"
"Related Key Attack.","1"
"Secure Logging.","0"
"Order.","1"
"Hash-Based Signatures.","1"
"Luby-Rackoff Ciphers.","1"
"Three-Factor Authentication.","1"
"Zeta Function Computation.","0"
"Generator.","1"
"E0 (Bluetooth).","1"
"Blinding Techniques.","1"
"Ring.","1"
"DPA.","0"
"SPKI/SDSI.","1"
"Side-Channel Attacks.","1"
"Chaum Blind Signature Scheme.","1"
"Tamper Response.","1"
"Universal Integrated Circuit Card.","0"
"Interactive Proof.","1"
"Miller-Rabin Probabilistic Primality Test.","1"
"MD4 Hash Function.","0"
"GMAC.","1"
"TCP Reset Injection.","1"
"False Data Injection Defense.","1"
"Multiparty Computation (MPC).","0"
"Credentials.","1"
"Field.","1"
"Eavesdropper.","1"
"Shannon's Model.","1"
"Alberti encryption.","1"
"RBAC.","0"
"Stack (Buffer) Overflow.","0"
"Bytecode Verification.","1"
"Applications of Formal Methods to Web Application Security.","1"
"SERPENT.","1"
"Electronic Purse.","0"
"MPKC.","0"
"Watermarking.","1"
"Certificate Management.","1"
"Secure Socket Layer (SSL).","1"
"Conference Key Agreement.","0"
"Bank Card.","0"
"Symmetric Cryptosystem.","1"
"Certificate Revocation.","1"
"Genetic Code.","0"
"Web Browser Security and Privacy.","1"
"Pseudorandom Function.","1"
"Temporal Access Control.","1"
"Cascade Revoke.","0"
"Kerberos Authentication Protocol.","1"
"Firewalls.","1"
"Remote Attestation.","0"
"compromising emanations.","1"
"Noninteractive Proof.","1"
"Overlay-Based DoS Defenses.","1"
"Formal Analysis of Security APIs.","1"
"Inversion Attack.","1"
"Bell-LaPadula Confidentiality Model.","1"
"Threshold Signature.","1"
"Impossible Differential Attack.","1"
"Greatest Common Divisor.","1"
"Biba Mandatory Integrity Policy.","0"
"MD4-MD5.","1"
"Physical Unclonable Functions (PUFs).","1"
"Formal Analysis of Cryptographic Protocols.","1"
"Modulus.","1"
"O-Notation.","1"
"Minimal Privilege.","0"
"Biometric Identification in Video Surveillance.","0"
"Platform for Privacy Preferences (P3P).","1"
"Chroot Prison.","0"
"Anonymity in Data Mining.","0"
"Strong Prime.","1"
"Linear Syndrome Attack.","1"
"Nym.","0"
"Denial of Service.","1"
"Key escrow.","1"
"Space-Time Trade-Off.","0"
"IPSec Policy Analysis.","0"
"Location Privacy in Wireless Networks.","1"
"Secure signatures from the ""strong RSA"" assumption.","1"
"ISO 19790 2006 Security Requirements for Cryptographic Modules.","0"
"Rank-Matric Codes.","0"
"Lattice.","1"
"Selective Forgery.","1"
"Computational Diffie-Hellman Problem.","1"
"Ciphertext-Only Attack.","1"
"Dictionary Attack (II).","1"
"TCP Modulation Attacks.","1"
"Key management.","1"
"Number Field Sieve.","0"
"Electronic Postage.","1"
"Big Number Squaring.","0"
"Certified Mail.","1"
"Spyware.","1"
"Certificate Management.","1"
"Password.","1"
"Autocorrelation.","1"
"Nonlinearity of Boolean Functions.","1"
"Attack by Summation Over an Hypercube.","0"
"Network Flooding Attack.","0"
"Radiometrics.","0"
"Code-Based Cryptography.","1"
"Group.","1"
"M-Invariance.","1"
"Lamport One-Time Signatures.","0"
"Policy.","1"
"Identification.","1"
"Secure Signatures from the ""Strong RSA"" Assumption.","1"
"Web 2.0 Security and Privacy.","1"
"Strong Authentication.","0"
"Broadcast Encryption.","1"
"XML-Based Access Control Languages.","1"
"Boolean Functions.","1"
"Random Oracle Model.","1"
"Header Injections.","0"
"Self-Shrinking Generator.","1"
"Hybrid Encryption.","1"
"Identity-Based Encryption.","1"
"Propagation Characteristics of Boolean Functions.","1"
"Pseudorandom Function.","1"
"Kerckhoffs' Principle.","1"
"Factor Base.","1"
"Beaufort Encryption.","1"
"Homomorphism.","1"
"Exponential Key Exchange.","0"
"Fermat Primality Test.","1"
"Web Security Auditing.","1"
"Source Location Privacy.","1"
"Codebook Attack.","1"
"Chemical Combinatorial Attack.","1"
"Hash Chain.","1"
"Challenge-Response Identification.","1"
"Keystream.","0"
"Recipient Anonymity.","1"
"Biometric Key Generation.","0"
"Record Linkage.","0"
"Mersenne Prime.","1"
"Sealed Storage.","1"
"Triple DES.","1"
"Timing attack.","1"
"Alphabet.","1"
"RC4.","1"
"Fair Exchange.","1"
"Recursive Revoke.","1"
"Node Clone Defense.","1"
"Random Key Predistribution.","0"
"ISO/IEC 27001.","0"
"Transport layer security (TLS).","1"
"Shannon's Maxim.","0"
"Chosen Plaintext and Chosen Ciphertext Attack.","1"
"Project Athena.","0"
"Interactive Proof.","1"
"Response.","1"
"Fermat Primality Test.","1"
"Web Initial Authentication.","0"
"Run.","1"
"Memory Overflow.","0"
"Strong Prime.","1"
"Wiretapping.","0"
"GMR Signature.","1"
"Trojan Horses, Computer Viruses and Worms.","1"
"Standard Basis.","0"
"Credential-Based Access Control.","1"
"Access Control.","1"
"Data Remanence.","1"
"Euler's Totient Function.","1"
"Secret Key Cryptosystem.","0"
"RC5.","1"
"Cut-and-Choose Protocol.","1"
"Clip Scheme.","1"
"Group Signatures.","1"
"Penetration Testing.","1"
"Reverse Engineering of Malware Emulators.","1"
"Cyclic Codes.","1"
"Cryptographic Algorithm Evaluation.","0"
"Salt.","1"
"Firewall.","1"
"Certificate-Based Access Control.","0"
"Microdata Masking Techniques.","1"
"Group Key Exchange.","0"
